"","type","RT"
"363","non-word",431.249713742765
"364","word",481.01263192047
"365","non-word",412.51364763854
"366","word",427.846781479954
"367","non-word",435.153809468805
"368","non-word",419.11881208115
"369","word",491.026540009677
"370","non-word",444.906290666668
"371","word",468.31160588766
"372","non-word",469.963504765672
"373","non-word",395.131352815605
"374","word",467.628562330532
"375","word",469.322200445875
"376","word",484.511935468262
"377","non-word",387.329746107313
"378","word",487.173771162445
"379","word",484.344091434933
"380","word",496.706748875084
"381","non-word",399.455270398023
"382","word",468.854341517283
"383","word",456.986606116936
"384","non-word",404.675495111727
"385","non-word",412.943452294458
"386","word",472.539703251887
"387","non-word",425.74777429331
"388","non-word",409.001695125818
"389","non-word",433.736470941293
"390","word",503.020439675892
"391","word",387.04350636383
"392","word",479.948161746278
"393","word",461.555528599688
"394","non-word",415.307486967566
"395","non-word",390.336616413615
"396","non-word",399.122346289404
"397","non-word",351.609505676788
"398","non-word",443.311820281231
"399","non-word",470.001976121244
"400","non-word",373.961634680015
"401","word",430.6705348562
"402","word",473.626412381164
"403","non-word",406.131076053345
"404","word",479.31077160483
"405","word",435.099750246535
"406","non-word",378.329749948743
"407","non-word",371.101538437543
"408","word",434.735758324412
"409","non-word",440.827483018468
"410","non-word",422.325248219599
"411","non-word",409.378424138372
"412","non-word",367.366731649649
"413","non-word",380.087485941826
"414","non-word",426.544772777472
"415","non-word",446.315655947932
"416","non-word",428.381339335313
"417","word",422.514445528582
"418","word",455.122322212969
"419","word",418.37286015824
"420","non-word",409.315252720571
"421","non-word",367.192237701511
"422","word",471.227007218122
"423","non-word",425.75658246209
"424","word",476.505929948722
"425","non-word",425.788158329883
"426","word",494.307601077073
"427","non-word",383.163260022674
"428","word",428.337176014683
"429","non-word",347.839262177567
"430","non-word",417.328357675192
"431","word",484.090728239291
"432","non-word",431.651864290387
"433","word",488.401938883222
"434","word",498.880541015482
"435","word",477.405820053831
"436","word",484.951359832343
"437","word",455.363751701094
"438","word",480.364139066085
"439","word",474.120217470827
"440","word",460.30607844794
"441","word",450.215159911689
"442","word",472.673139477247
"443","non-word",414.419500815115
"444","word",494.767360401064
"445","word",421.802711589319
"446","non-word",417.003215262599
"447","non-word",380.014019379383
"448","non-word",400.170887598419
"449","non-word",408.208039055119
"450","word",500.04198944096
"451","word",516.886040859852
"452","non-word",431.547427065299
"453","non-word",447.139405246296
"454","non-word",391.578117393374
"455","word",432.969865221226
"456","word",476.775902544457
"457","non-word",475.268683294346
"458","word",497.126051153536
"459","word",461.372394755774
"460","word",449.958043999677
"461","non-word",404.229689664367
"462","word",516.505928802274
"463","non-word",456.979063646317
"464","word",478.383530794186
"465","word",422.4923192123
"466","non-word",444.241435401978
"467","word",479.99397573782
"468","word",475.418225191722
"469","word",514.856519399256
"470","non-word",443.29921311521
"471","word",501.323383693674
"472","non-word",462.403713091808
"473","non-word",432.698839307265
"474","word",496.605992206133
"475","non-word",406.178703723505
"476","word",478.833980516011
"477","word",465.152474208607
"478","word",464.150192895324
"479","word",469.160670307572
"480","non-word",435.363475199516
"481","non-word",432.650786220852
"482","word",451.608181592569
"483","word",459.965274743949
"484","non-word",410.256417633855
"485","word",459.305931860166
"486","non-word",440.992116751396
"487","word",463.207978450068
"488","word",466.152801775851
"489","non-word",460.610044534035
"490","word",482.120971204314
"491","non-word",468.099919952969
"492","word",406.770013300795
"493","non-word",441.759728694266
"494","non-word",389.894328172046
"495","word",438.816591693701
"496","non-word",401.715868535979
"497","non-word",443.813968277459
"498","non-word",392.738175316047
"499","word",434.500715051528
"500","word",471.15336454252
"501","word",432.303524804445
"502","word",464.325220738283
"503","non-word",359.837919031544
"504","word",446.136933883391
"505","word",442.051164905033
"506","non-word",455.92567231991
"507","word",472.603005993192
"508","word",519.074108890637
"509","word",452.010839582958
"510","word",420.088447472329
"511","non-word",370.225397516282
"512","word",522.725130080085
"513","word",486.149931446693
"514","word",495.690313500618
"515","word",489.96691675972
"516","word",490.651809864462
"517","word",483.939642411875
"518","word",455.086892167948
"519","non-word",374.903793651295
"520","word",482.57829333677
"521","non-word",427.907628275383
"522","word",396.001230219811
"523","non-word",459.057063088582
"524","word",498.182174661537
"525","non-word",394.975592814663
"526","word",448.455805090086
"527","word",517.845545070055
"528","word",476.993944964679
"529","word",487.762545094038
"530","word",462.34286227683
"531","non-word",422.584615173973
"532","non-word",395.676307640904
"533","word",530.106814518309
"534","word",432.046679105629
"535","word",443.080841657666
"536","non-word",423.629470295841
"537","word",437.631993786518
"538","non-word",439.653721758638
"539","non-word",425.375812547764
"540","word",469.13391837712
"541","non-word",451.118410852005
"542","word",488.692305324137
"543","non-word",438.413795269803
"544","word",515.717526835095
"545","word",458.994340986067
"546","word",491.278364389122
"547","word",493.000012632731
"548","word",480.937108149439
"549","non-word",391.864505242658
"550","word",445.709537451605
"551","word",444.710222150306
"552","non-word",401.979944021978
"553","word",479.156950010713
"554","non-word",358.175661763298
"555","non-word",425.360128553632
"556","word",462.452203672453
"557","word",480.645944426369
"558","word",453.173135489588
"559","word",476.960998461637
"560","non-word",402.356091193212
"561","non-word",410.830124526924
"562","word",506.72724595107
"563","word",443.005221546799
"564","non-word",415.806451270878
"565","non-word",447.90204548415
"566","word",501.655648170315
"567","word",445.509192910481
"568","non-word",441.10863735815
"569","word",463.917086033181
"570","non-word",476.217538220247
"571","word",486.697736749167
"572","non-word",475.359354028632
"573","non-word",420.476021066527
"574","non-word",404.928666688368
"575","word",482.852307906314
"576","word",508.730750431043
"577","word",500.690627585863
"578","word",512.048544328606
"579","non-word",420.850835102154
"580","word",414.265820396908
"581","non-word",434.140480631373
"582","word",487.465830569811
"583","non-word",400.379542090202
"584","non-word",395.849127963782
"585","word",510.067340524016
"586","word",461.512303676484
"587","non-word",419.548806509978
"588","word",506.039706357015
"589","word",479.306696471933
"590","non-word",416.884723223887
"591","word",440.190982519454
"592","non-word",407.251952038332
"593","word",457.219926869509
"594","word",398.313838034973
"595","non-word",420.014823756576
"596","word",457.46255843936
"597","word",418.789657421845
"598","word",465.324677418753
"599","word",505.522391775017
"600","word",459.677090256952
"601","word",458.98021999322
"602","word",500.550565089586
"603","word",419.288159180544
"604","non-word",408.62928522359
"605","word",474.040649805514
"606","word",478.453235220306
"607","non-word",366.823672753696
"608","word",437.715905824836
"609","word",520.470381849944
"610","word",512.809111918062
"611","non-word",472.506121913771
"612","word",469.352506563454
"613","word",503.938408543958
"614","non-word",465.742704128675
"615","word",505.119898866452
"616","non-word",390.510811829751
"617","non-word",418.178165599946
"618","word",429.471065776792
"619","non-word",410.252656353805
"620","non-word",388.808629073051
"621","word",445.030672892433
"622","non-word",422.697225960904
"623","non-word",421.898670631203
"624","word",500.671700943542
"625","non-word",452.101987496528
"626","word",477.067704185969
"627","word",470.664961664792
"628","non-word",399.964028137682
"629","word",498.750641399981
"630","word",495.689066081889
"631","non-word",416.406501420663
"632","word",480.04655809739
"633","non-word",417.593468791219
"634","word",473.446242195466
"635","non-word",464.020711040864
"636","word",485.00477048322
"637","non-word",403.682490342197
"638","word",468.055293848924
"639","non-word",390.338709118804
"640","word",464.282621553066
"641","word",482.347660611459
"642","non-word",503.725774661409
"643","word",486.5465206653
"644","word",416.912377621405
"645","word",400.279871932413
"646","non-word",450.561772548553
"647","word",473.299523405574
"648","word",474.290399695935
"649","word",517.418851132519
"650","non-word",439.421424142785
"651","word",493.83464184005
"652","non-word",424.389379455791
"653","non-word",452.004390230548
"654","word",455.133343829439
"655","word",472.209694653367
"656","word",474.386530692564
"657","non-word",424.316250229609
"658","word",513.661487175245
"659","non-word",376.324489983271
"660","word",487.219040683662
"661","non-word",428.333043147304
"662","non-word",392.733932392674
"663","word",456.292260483137
"664","word",430.515095549855
"665","non-word",447.898273610544
"666","non-word",369.982507049899
"667","word",481.208813254087
"668","non-word",423.533857304941
"669","word",504.629915215553
"670","word",472.075120760369
"671","non-word",420.570304131959
"672","word",479.806252177264
"673","non-word",440.70007300732
"674","word",494.255411822576
"675","non-word",417.329877286123
"676","non-word",376.392447900807
"677","non-word",409.535517289718
"678","word",467.171794595049
"679","word",443.184492302931
"680","word",516.979348237849
"681","word",494.729379134027
"682","non-word",424.607934867318
"683","non-word",449.098445930206
"684","word",427.233302407272
"685","word",531.371336341732
"686","word",511.815691073026
"687","non-word",421.391047048568
"688","non-word",451.137584880191
"689","word",464.308441938718
"690","non-word",389.779376629959
"691","word",507.806859629064
"692","word",402.411177162983
"693","non-word",461.649210711991
"694","non-word",401.764620334715
"695","word",461.775108864968
"696","non-word",444.991820805515
"697","word",414.664958064812
"698","word",469.505525914868
"699","non-word",406.949858957166
"700","non-word",402.189204147939
"701","word",496.214587558699
"702","non-word",447.541436280513
"703","word",513.154686199279
"704","word",547.070363833568
"705","word",505.005415611874
"706","non-word",384.021303605498
"707","non-word",444.242595164391
"708","word",501.825487551071
"709","non-word",375.040003406496
"710","non-word",455.924876670474
"711","word",483.511538776301
"712","word",477.804716147968
"713","word",448.69006449684
"714","word",463.537376391979
"715","non-word",434.633219349034
"716","non-word",445.125121906992
"717","non-word",397.804706253355
"718","non-word",451.534989895869
"719","word",455.414963351306
"720","word",520.283603501118
"721","word",517.264844381316
"722","non-word",439.52228525467
"723","non-word",462.247741098534
"724","word",463.560486811637
"725","word",481.657767780343
"726","non-word",453.311552871601
"727","non-word",388.650705693796
"728","word",509.449753593096
"729","non-word",409.555934371628
"730","word",520.205434595077
"731","non-word",398.358869601754
"732","word",494.303698077537
"733","word",516.942280396775
"734","non-word",409.328322005506
"735","word",460.209964916654
"736","word",475.31896867705
"737","non-word",386.346357714607
"738","non-word",452.36449170341
"739","word",445.456785522513
"740","word",449.996012409565
"741","non-word",401.253601508437
"742","non-word",413.64477739562
"743","word",442.780149999118
"744","non-word",441.188869244562
"745","non-word",398.010037620672
"746","non-word",425.277749604625
"747","word",448.147959649822
"748","word",460.66058959761
"749","non-word",367.72344517584
"750","word",416.853540652062
"751","word",489.55197905967
"752","word",465.133314488284
"753","word",459.158501935033
"754","word",422.925233425283
"755","word",470.928014778162
"756","word",475.419133117101
"757","word",442.067656021159
"758","non-word",375.542266257183
"759","non-word",418.819929460723
"760","word",501.445934562734
"761","word",483.651442678643
"762","non-word",407.438571776904
"763","word",456.714553558703
"764","non-word",433.949884575818
"765","non-word",365.644344084058
"766","non-word",407.648107445894
"767","non-word",421.894497643642
"768","non-word",355.540654182378
"769","non-word",432.096178257702
"770","non-word",436.789995000383
"771","non-word",378.974902569984
"772","word",441.482461998239
"773","word",475.766810016029
"774","word",502.750523315571
"775","non-word",446.626034073768
"776","word",429.062452271658
"777","word",487.547670666394
"778","word",488.602229811153
"779","non-word",420.215157077027
"780","word",415.897862930294
"781","word",461.814520884453
"782","non-word",421.149816902543
"783","word",445.576507078963
"784","word",479.061942364483
"785","non-word",429.925565720016
"786","non-word",431.976253846726
"787","non-word",408.340700456084
"788","non-word",469.214333383597
"789","non-word",394.896822296728
"790","non-word",454.952546930303
"791","word",476.670161664787
"792","non-word",403.922843477483
"793","non-word",393.823713403698
"794","non-word",423.919183078628
"795","non-word",469.835007989228
"796","non-word",368.256658985715
"797","word",468.036777888494
"798","non-word",399.878288502236
"799","non-word",433.46085487567
"800","word",449.517166118878
"801","word",470.779881269372
"802","word",434.659437572329
"803","word",439.159988716989
"804","word",506.018047970189
"805","non-word",403.5929831283
"806","word",518.098890255126
"807","word",517.587147139844
"808","non-word",421.208882363912
"809","word",446.244096521552
"810","non-word",407.161802265799
"811","non-word",417.43296712014
"812","word",479.822556773056
"813","word",417.956734791476
"814","non-word",409.805008772415
"815","word",466.372848203598
"816","non-word",416.962030004015
"817","non-word",428.775392057228
"818","word",489.417009276442
"819","word",466.910618521795
"820","word",459.629972245364
"821","non-word",411.626764665074
"822","word",450.476657647725
"823","non-word",426.779722056594
"824","word",442.360749014375
"825","word",513.428586290682
"826","word",507.199325528591
"827","word",537.007774037189
"828","word",466.055587831666
"829","word",460.097137248315
"830","non-word",441.32491613998
"831","non-word",421.811576005653
"832","non-word",366.945462273264
"833","word",443.440496585455
"834","word",483.270711975234
"835","non-word",443.347495112783
"836","non-word",440.446638045109
"837","word",484.222652489243
"838","non-word",349.848106788971
"839","non-word",436.822768981564
"840","non-word",398.963612549073
"841","word",425.5753866435
"842","non-word",337.184430420565
"843","non-word",397.280688015144
"844","non-word",452.283967799851
"845","word",435.859623513202
"846","word",505.864601776814
"847","non-word",425.44052198639
"848","non-word",417.873907019737
"849","word",472.541135060263
"850","non-word",455.788944658912
"851","word",436.754937318096
"852","non-word",431.662487352363
"853","word",466.052182876236
"854","word",460.075652281153
"855","word",450.3040605063
"856","non-word",424.882769247879
"857","non-word",390.084573789147
"858","word",476.336799823484
"859","word",481.186618321891
"860","non-word",428.337153346223
"861","word",465.603846443888
"862","word",462.101756267287
"863","word",467.144170605355
"864","word",465.015260452062
"865","non-word",448.69370963515
"866","word",479.964905886224
"867","non-word",439.040480579191
"868","word",494.700380357148
"869","word",470.997917354827
"870","non-word",417.137951729952
"871","non-word",491.548254344306
"872","word",461.864351977228
"873","word",445.88672602948
"874","word",482.053027528051
"875","word",447.044698982396
"876","word",438.217846240783
"877","word",481.78903506727
"878","word",496.975894392675
"879","word",507.810219478105
"880","word",513.758125348062
"881","word",468.046710219567
"882","non-word",399.175083546984
"883","word",494.424960204284
"884","non-word",398.558617296525
"885","non-word",389.066732372022
"886","word",468.864694806659
"887","non-word",384.781948372317
"888","word",486.624495798639
"889","word",488.085362770423
"890","word",415.148422929759
"891","non-word",449.221050172281
"892","word",454.252961446614
"893","non-word",469.480274694879
"894","word",453.783350556323
"895","word",496.788022347517
"896","non-word",379.000480689194
"897","non-word",415.237431017111
"898","non-word",354.762224860612
"899","word",452.312267253826
"900","word",433.029336399829
"901","word",487.513307415214
"902","non-word",428.968208283776
"903","non-word",421.997448906052
"904","non-word",406.347760673125
"905","word",441.303888029711
"906","non-word",465.241569607848
"907","word",493.401063472268
"908","non-word",487.630096820078
"909","word",493.759319850882
"910","word",488.762214086751
"911","word",467.039532804068
"912","non-word",435.208458247889
"913","non-word",409.900003111072
"914","word",469.154519212227
"915","non-word",408.781564488334
"916","non-word",381.678151644611
"917","non-word",401.809162653117
"918","word",448.264100781605
"919","word",428.809651594241
"920","word",453.314899931886
"921","word",452.301879058574
"922","word",532.839825236878
"923","word",499.209541427142
"924","word",458.746733542341
"925","word",464.555232379622
"926","word",455.827986686925
"927","word",466.187390569592
"928","non-word",391.62575293312
"929","word",436.672922647895
"930","non-word",381.931031371419
"931","word",488.431378536752
"932","word",433.559178977141
"933","word",483.021748722011
"934","word",431.251810677918
"935","word",439.089617739998
"936","word",504.211046507417
"937","word",479.862083927133
"938","word",483.86264380338
"939","non-word",452.751451124679
"940","word",487.258617142735
"941","word",553.215177033205
"942","non-word",402.93288757554
"943","non-word",413.242581985025
"944","non-word",384.107768101227
"945","word",491.283048026075
"946","word",488.146325034438
"947","word",516.014138474361
"948","non-word",456.363851466892
"949","non-word",411.86779147675
"950","non-word",444.071688519535
"951","word",481.011627541422
"952","non-word",443.156603600033
"953","word",464.053306228229
"954","non-word",407.340800167925
"955","word",467.334995956438
"956","word",449.829491105627
"957","word",465.444612032572
"958","word",479.387917405302
"959","non-word",438.834560122282
"960","word",469.615796166672
"961","non-word",481.857740141332
"962","word",482.79673275841
"963","non-word",440.57078095782
"964","word",482.82377840455
"965","word",485.939575842584
"966","word",502.322489393499
"967","word",485.546303545671
"968","word",513.481828154635
"969","word",512.870600488303
"970","word",461.142150950175
"971","word",469.319993903868
"972","non-word",374.214544512244
"973","word",480.870607684518
"974","non-word",399.590824946278
"975","non-word",395.765521551848
"976","non-word",415.911018646802
"977","word",478.486397039096
"978","word",504.628532195412
"979","non-word",424.07684712746
"980","non-word",418.16068565962
"981","non-word",367.026713290133
"982","word",472.721335622302
"983","word",501.987841401507
"984","non-word",456.5334418709
"985","non-word",435.434821735467
"986","non-word",403.708039942384
"987","word",460.112054655704
"988","non-word",381.138746823498
"989","word",481.549050959516
"990","word",432.685596560847
"991","word",475.607340318989
"992","non-word",391.822514444896
"993","word",428.043849616771
"994","non-word",439.046408428348
"995","word",464.990382404373
"996","word",442.350243163904
"997","non-word",432.193468301351
"998","word",504.011197305724
"999","non-word",405.328889363144
"1000","word",481.904237513934
"1001","non-word",448.254942840708
"1002","non-word",453.761525360003
"1003","non-word",440.01743073805
"1004","non-word",435.657326662013
"1005","word",472.020047821698
"1006","word",436.85678337155
"1007","word",474.028821394555
"1008","word",476.042870215271
"1009","word",439.034594641096
"1010","non-word",379.813353558546
"1011","word",455.406686908321
"1012","non-word",408.261034368226
"1013","word",461.438294224411
"1014","non-word",453.082236357075
"1015","word",430.206797516685
"1016","word",496.40730686497
"1017","word",487.990487630423
"1018","word",490.72465762482
"1019","word",491.142763935312
"1020","word",465.928455494372
"1021","non-word",404.47624327476
"1022","word",467.291327440605
"1023","word",485.391059235754
"1024","word",479.21001569386
"1025","non-word",414.752371973284
"1026","non-word",430.30218365457
"1027","word",487.749353021858
"1028","word",466.147739219289
"1029","word",472.681753878698
"1030","non-word",414.98119094459
"1031","non-word",370.350903210156
"1032","non-word",417.262529437793
"1033","non-word",336.576659964334
"1034","non-word",400.127456560374
"1035","non-word",406.397565419316
"1036","non-word",345.989736758696
"1037","word",444.065000946781
"1038","non-word",351.254336241511
"1039","word",487.949149482428
"1040","non-word",416.225818077658
"1041","word",467.431756190179
"1042","word",467.464382833375
"1043","non-word",406.661569820616
"1044","word",462.734641708211
"1045","non-word",408.7730016174
"1046","word",475.844518252606
"1047","non-word",386.114964062319
"1048","word",460.375921057786
"1049","non-word",373.787734446943
"1050","word",443.147721250699
"1051","non-word",445.249009427747
"1052","word",432.997698626949
"1053","non-word",420.529001928216
"1054","word",481.381781619387
"1055","non-word",428.822317650537
"1056","word",456.689062735854
"1057","word",496.89205034906
"1058","word",536.868259671584
"1059","word",529.753888775178
"1060","word",481.886759164498
"1061","word",470.359373066011
"1062","word",486.419199002046
"1063","non-word",416.465920782839
"1064","word",467.737819684474
"1065","non-word",465.484284397597
"1066","non-word",413.718127557754
"1067","word",413.303210361686
"1068","non-word",424.173110543964
"1069","non-word",420.262314160996
"1070","non-word",396.079740764439
"1071","word",436.788498620748
"1072","word",486.614328649884
"1073","non-word",363.689223508791
"1074","non-word",432.924914426889
"1075","non-word",424.802271707206
"1076","word",502.080784325876
"1077","non-word",434.970915687235
